"Country","Year","Trade balance of goods","FDI net balance","Ratio of migrant to native workers"
"DK",2017,9366.222954235,-6070.82656,0.1359
"ES",2017,-29697.338712266,-14711.76331,0.1952
"FI",2017,-2819.67902662801,3437.5007,0.0673
"FR",2017,-89747.5064333771,-2780.28943,0.1555
"GR",2017,-23145.781147492,3316.47289,0.0905
"IE",2017,45014.452075978,54883.02211,0.2905
"IT",2017,53812.949181545,-483.819659999997,0.159
"LU",2017,-9548.274156557,-42388.81169,1.0895
"NL",2017,66005.143629001,1991.6178,0.1582
"PT",2017,-16629.278687467,7858.22409,0.101
"SE",2017,-776.171471880981,-13574.67545,0.2897
"UK",2017,-199060.364388934,-46019.20255,0.2247
"AT",2018,-7203.229983754,-221.99817,0.2886
"BE",2018,-16707.129007312,-16443.62355,0.2433
"DE",2018,269692.764067174,-25094.34772,0.2525
"DK",2018,6821.811058625,1473.72312,0.1381
"ES",2018,-44992.3902589499,20118.75688,0.1981
"FI",2018,-3093.87095181499,-13627.04482,0.0667
"FR",2018,-90838.642493093,-60949.98418,0.1567
"GR",2018,-25650.926147336,3496.43339,0.0901
"IE",2018,57464.237327832,-17171.0921,0.3127
"IT",2018,46379.985158596,6139.78734,0.1552
"LU",2018,14823.214568249,-105193.60584,1.2029
"NL",2018,66857.456516641,146286.14314,0.1593
"PT",2018,-21493.392907188,5806.49253,0.1031
"SE",2018,-4285.94543785901,-15583.17164,0.3034
"UK",2018,-180853.894212867,4876.37619,0.2176
"AT",2019,-5064.07638655002,-7580.47121,0.2933
"BE",2019,-6909.73320995099,5749.62273,0.254
"DE",2019,253369.360718524,-98394.72907,0.2557
"DK",2019,12872.327886286,-9395.53159,0.1349
"ES",2019,-38267.465874196,-8353.48761,0.218
"FI",2019,-880.681006155991,8590.84986,0.0741
"FR",2019,-86843.9986609721,-31033.45439,0.1576
"GR",2019,-24312.51877901,4377.67465,0.096
"IE",2019,68869.542958814,117350.06874,0.3306
"IT",2019,62791.101290672,-1642.26958,0.1566
"LU",2019,14324.798123479,-13049.71812,1.204
"NL",2019,61926.767627576,-15082.68441,0.1649
"PT",2019,-22477.305556276,8240.99622,0.1155
"SE",2019,1573.06432708002,-7525.41485,0.3187
"UK",2019,-224171.754205101,42200.79266,0.271
"AT",2020,-2490.45028621899,-17266.63095,0.3041
"BE",2020,897.075838630005,-2286.67764,0.2557
"DE",2020,212684.928064187,31254.05195,0.2497
"DK",2020,11092.755890383,-8287.63991,0.1372
"ES",2020,-17658.287944463,-19300.8386,0.2305
"FI",2020,-2659.546169976,-7434.55785,0.0797
"FR",2020,-92818.451905331,-10502.715,0.1555
"GR",2020,-20463.176193499,2663.9276,0.0804
"IE",2020,85743.764606079,113919.26497,0.333
"IT",2020,72327.991641947,-21504.13589,0.1553
"LU",2020,13189.454059084,-138172.66815,1.2187
"NL",2020,67264.2616893441,92251.4523,0.1629
"PT",2020,-16434.157403152,5157.66688,0.1127
"SE",2020,5499.32966705399,-4696.36795,0.3294
"UK",2020,-238482.783715527,140274.35898,0.2
"AT",2021,-16209.815496873,-8150.70243,0.3155
"BE",2021,-7967.50666722504,-20189.38041,0.2631
"DE",2021,210924.587646313,-96385.81704,0.2662
"DK",2021,5125.383034011,-19042.60349,0.1365
"ES",2021,-34501.297250374,21058.69468,0.2488
"FI",2021,-4763.30921468201,4134.86081,0.1178
"FR",2021,-130463.017940641,-20977.64147,0.1538
"GR",2021,-30040.750990501,5218.96903,0.016
"IE",2021,73257.425112638,-60078.48666,0.3405
"IT",2021,47707.8348151431,-29367.44672,0.1594
"LU",2021,15886.568378428,-27051.64082,1.3652
"NL",2021,73504.1503191071,-162613.80921,0.1947
"PT",2021,-23094.343382847,8146.73883,0.0898
"SE",2021,2315.45607891501,-8129.70971,0.325
"UK",2021,-217688.752477273,-156091.95876,0.299
"AT",2022,-22722.16201062,1802.98729,0.3327
"BE",2022,-494.756006492981,-8760.30934,0.2719
"DE",2022,97289.014506416,-118116.73883,0.2868
"DK",2022,2733.220306396,1882.52033,0.1331
"ES",2022,-74769.01455759,1984.99616,0.246
"FI",2022,-11146.213003909,-7479.80253,0.1272
"FR",2022,-201098.794362891,23202.95191,0.1599
"GR",2022,-40402.270900616,5253.58036,0.0162
"IE",2022,71333.266349621,-34453.63639,0.3517
"IT",2022,-35848.6337193319,15633.55602,0.1632
"LU",2022,16415.479760611,-65132.09439,1.3108
"NL",2022,57487.39775298,-118664.8821,0.2143
"PT",2022,-32731.515798366,7091.50643,0.1281
"SE",2022,-5469.56474899597,-17166.66908,0.3355
"UK",2022,-286496.165006074,-80439.83621,0.2384
"AT",2023,-2920.46400767599,-5128.14649,0.3532
"BE",2023,-21979.614782024,10946.75836,0.2877
"DE",2023,228021.42489398,-64556.06375,0.3034
"DK",2023,9677.44160618999,-6368.19904,0.1294
"ES",2023,-48873.500349541,5579.34345,0.2684
"FI",2023,-525.862091639999,-3048.37614,0.1339
"FR",2023,-136930.504986988,-30324.29394,0.1643
"GR",2023,-33554.568749709,1477.97565,0.0155
"IE",2023,62258.133757208,-2570.1743,0.3644
"IT",2023,37166.417395656,5205.22468,0.1641
"LU",2023,16005.905608829,-39128.93041,1.3557
"NL",2023,77672.7116893361,-26265.08369,0.2288
"PT",2023,-29577.33482847,3664.28095,0.156
"SE",2023,4292.43163782199,-18080.31,0.3473
"UK",2023,-270449.984116922,-91254.7434,0.2512
